rowLabel,gravity,mid_wrench,tip_wrench,seg1_s01,seg1_s02,seg1_s03,seg1_s04,seg1_s05,seg1_s06,seg1_s07,seg2_s01,seg2_s02,seg2_s03,seg2_s04,seg2_s05,seg2_s06,seg2_s07
arclength,0,0.06,0.3,0,0.0469,0.2308,0.5,0.7692,0.9531,1,0,0.0469,0.2308,0.5,0.7692,0.9531,1
EulX_s001,0,-0.058,0.0466,-0,0.0006,0.0129,0.0453,0.0773,0.0922,0.0947,0.0947,0.1022,0.129,0.1598,0.1793,0.1861,0.1871
EulY_s001,0,0.0069,0.0112,0,-0.0296,-0.1317,-0.2415,-0.3087,-0.3338,-0.3378,-0.3378,-0.3494,-0.3897,-0.4349,-0.4647,-0.4764,-0.4782
EulZ_s001,0,-0.0138,-0.0361,-0,0.043,0.1948,0.3707,0.4894,0.5353,0.5423,0.5423,0.5482,0.5606,0.549,0.5045,0.4569,0.4427
Px_s001,-3.9137,-0.1644,-0.1519,0,0.0094,0.0457,0.0963,0.1432,0.1736,0.1812,0.1812,0.1888,0.2179,0.2597,0.3015,0.3306,0.3381
Py_s001,8.3341,0.2252,0.2078,0,0.0002,0.0046,0.0196,0.0414,0.0585,0.0631,0.0631,0.0677,0.0856,0.1111,0.1345,0.1486,0.1518
Pz_s001,3.3855,0.1107,0.154,0,0.0001,0.0032,0.0134,0.0281,0.0398,0.0429,0.0429,0.0461,0.0595,0.0818,0.1064,0.124,0.1286
EulX_s002,0,-0.0507,-0.0293,-0,-0,-0.002,-0.0142,-0.0417,-0.0702,-0.0787,-0.0787,-0.081,-0.0924,-0.1166,-0.1501,-0.1784,-0.1864
EulY_s002,0,0.0321,0.0226,0,0.0025,0.0211,0.0711,0.143,0.2019,0.218,0.218,0.2221,0.2412,0.2762,0.3176,0.3483,0.3563
EulZ_s002,0,-0.001,0.0473,-0,0.0346,0.1572,0.3025,0.4129,0.472,0.4853,0.4853,0.4993,0.5515,0.6229,0.6925,0.7414,0.7543
Px_s002,-5.3162,0.1981,0.2522,0,0.0094,0.046,0.0982,0.1483,0.181,0.1892,0.1892,0.1972,0.2282,0.2715,0.3123,0.3385,0.3449
Py_s002,3.8733,0.2251,0.1537,0,0.0002,0.0037,0.0161,0.035,0.0504,0.0546,0.0546,0.0588,0.0766,0.1051,0.1361,0.1584,0.1643
Pz_s002,7.2782,-0.0099,-0.0527,0,-0,-0.0004,-0.0028,-0.0086,-0.0151,-0.0172,-0.0172,-0.0193,-0.0282,-0.0427,-0.0593,-0.0722,-0.0757
EulX_s003,0,0.0292,-0.0302,-0,-0,-0.0001,0.0002,0.001,0.0012,0.0012,0.0012,0.0012,0.0015,0.0021,0.0029,0.0031,0.003
EulY_s003,0,-0.031,0.0053,0,0.0013,0.0039,-0.0002,-0.0153,-0.0328,-0.0383,-0.0383,-0.0357,-0.0263,-0.0149,-0.008,-0.0068,-0.0069
EulZ_s003,0,-0.0423,-0.0516,-0,0.0127,0.0488,0.0639,0.0365,-0.0053,-0.0189,-0.0189,-0.0216,-0.0386,-0.0801,-0.1396,-0.1894,-0.2032
Px_s003,6.4361,0.1249,0.274,0,0.0094,0.0461,0.0999,0.1536,0.1904,0.1998,0.1998,0.2091,0.2459,0.2996,0.3531,0.3894,0.3986
Py_s003,6.9519,0.2225,0.1147,0,0.0001,0.0013,0.0045,0.0074,0.008,0.0079,0.0079,0.0077,0.0066,0.0035,-0.0023,-0.0083,-0.0102
Pz_s003,2.5462,-0.1577,-0.0418,0,-0,-0.0001,-0.0003,0.0001,0.001,0.0013,0.0013,0.0016,0.0028,0.0039,0.0044,0.0047,0.0047
EulX_s004,0,0.0132,-0.054,-0,-0.0004,-0.0084,-0.0354,-0.0766,-0.1115,-0.1212,-0.1212,-0.1261,-0.1446,-0.1697,-0.1929,-0.2076,-0.2112
EulY_s004,0,0.0402,0.0126,0,0.0287,0.1351,0.2736,0.3933,0.4654,0.4827,0.4827,0.4911,0.5222,0.5637,0.603,0.63,0.6369
EulZ_s004,0,0.0426,-0.023,-0,0.0261,0.1233,0.2541,0.3748,0.4528,0.4721,0.4721,0.4757,0.4823,0.4711,0.4367,0.4007,0.39
Px_s004,-6.1058,0.2502,-0.1888,0,0.0094,0.0459,0.0976,0.1459,0.1765,0.1839,0.1839,0.1913,0.2198,0.2607,0.3011,0.3285,0.3355
Py_s004,1.1918,-0.0238,0.1524,0,0.0001,0.0029,0.0128,0.0285,0.0419,0.0456,0.0456,0.0494,0.0641,0.0847,0.1032,0.114,0.1165
