timestamp,pattern_label,servo_4_mm,servo_3_mm,servo_9_mm,servo_5_mm,servo_2_mm,servo_8_mm,servo_6_mm,servo_1_mm,servo_7_mm,tip_x,tip_y,tip_z
1778538602.52163,rep1_tendon0_id4_pull,-0.061359,-0.03068,-0.01534,-0.046019,-0.01534,-0.01534,0.0,0.0,-0.107379,-2.085078,8.168024,187.961009
1778538603.166227,rep1_tendon0_id4_pull,-0.690291,-0.674952,-0.598253,-0.613592,-0.659612,-0.582913,-0.567573,-0.567573,-0.674952,-2.239707,9.726105,188.101288
1778538608.924723,rep1_tendon0_id4_pull,0.214757,-6.181943,-6.197283,-6.258642,-6.059225,-6.151264,-6.120584,-6.105244,-6.197283,-12.368466,9.117368,187.740014
1778538609.462704,rep1_tendon0_id4_pull,0.659612,-6.718837,-6.749516,-6.780196,-6.550099,-6.626798,-6.688157,-6.596118,-6.749516,-24.726536,7.483671,186.467858
1778538610.013866,rep1_tendon0_id4_pull,1.165826,-7.225051,-7.209711,-7.317089,-7.071652,-7.163691,-7.24039,-7.102332,-7.317089,-38.376795,6.702733,183.957136
1778538610.597808,rep1_tendon0_id4_pull,1.733399,-7.746604,-7.731264,-7.915342,-7.639225,-7.792623,-7.792623,-7.700585,-7.884662,-53.106735,5.214862,179.926868
1778538611.142495,rep1_tendon0_id4_pull,2.193593,-8.329517,-8.329517,-8.452235,-8.160779,-8.283497,-8.329517,-8.191459,-8.421556,-64.740712,4.083058,175.688837
1778538611.675315,rep1_tendon0_id4_pull,2.684467,-8.820391,-8.774371,-8.958449,-8.636313,-8.85107,-8.820391,-8.713012,-8.943109,-78.241912,2.806158,169.489388
1778538612.217343,rep1_tendon0_id4_pull,3.144661,-9.265245,-9.311265,-9.526022,-9.127187,-9.387964,-9.372624,-9.219226,-9.449323,-90.103457,1.659244,162.799164
1778538612.766816,rep1_tendon0_id4_pull,3.666215,-9.802139,-9.832818,-9.955537,-9.66408,-9.924857,-9.894177,-9.740779,-9.955537,-102.573183,0.631967,154.282698
1778538613.316507,rep1_tendon0_id4_pull,4.172428,-9.955537,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.970876,-113.268644,-0.178464,145.609858
1778538614.504465,rep1_tendon0_id4_pull,4.172428,-9.955537,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-115.877576,-0.513265,143.152897
1778538615.050263,rep1_tendon0_id4_pull,3.727574,-9.955537,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-107.611992,0.203326,150.282968
1778538615.588866,rep1_tendon0_id4_pull,3.19068,-9.955537,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-9.986216,-93.898871,0.456061,160.38902
